                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1943,                 1.7461,                 1.3276,                 0.6697,                0.59242,                0.62707,                0.39369,                 1.2968,                  1.814,                 1.6706,             0.00036983,             0.00036983,             0.00036983
                      2,                 1.2754,                 1.4266,                 1.3884,                0.69003,                0.62393,                0.64876,                0.40285,                 1.2828,                  1.448,                 1.6415,             0.00070353,             0.00070353,             0.00070353
                      3,                 1.2824,                 1.3573,                 1.3963,                0.67774,                0.62773,                0.63908,                0.40771,                 1.2549,                 1.3964,                 1.6212,              0.0010006,              0.0010006,              0.0010006
                      4,                 1.2662,                 1.2994,                 1.3895,                0.69425,                0.59185,                0.65217,                0.41221,                 1.2728,                 1.3517,                 1.6188,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.2374,                 1.2387,                 1.3648,                0.76257,                0.63492,                0.68972,                0.45965,                 1.2005,                 1.2137,                 1.5647,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.1999,                 1.1823,                 1.3477,                0.73719,                0.65654,                0.70196,                0.46809,                 1.1896,                 1.1694,                 1.5442,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.1677,                 1.1352,                 1.3267,                 0.7338,                0.64705,                0.69359,                 0.4697,                 1.1621,                  1.156,                 1.5367,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.1476,                 1.0872,                 1.3118,                0.76284,                0.68626,                0.73145,                0.50777,                 1.0816,                 1.0381,                 1.4602,             0.00078103,             0.00078103,             0.00078103
                      9,                 1.1288,                 1.0538,                 1.2982,                0.73994,                0.69085,                 0.7229,                0.50033,                 1.0591,                 1.0823,                 1.4394,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.1062,                 1.0269,                 1.2843,                0.75085,                0.69948,                0.74386,                0.52702,                  1.048,                 1.0088,                  1.424,             0.00067104,             0.00067104,             0.00067104
                     11,                 1.0567,                0.91311,                 1.2685,                0.75729,                0.70155,                0.74932,                0.53548,                 1.0215,                0.96916,                 1.4032,             0.00061605,             0.00061605,             0.00061605
                     12,                 1.0265,                0.87245,                 1.2437,                 0.7677,                0.71778,                0.76267,                0.55349,                 0.9903,                0.95412,                 1.3762,             0.00056105,             0.00056105,             0.00056105
                     13,                 1.0068,                0.84032,                 1.2291,                0.76919,                0.71825,                0.76362,                0.55872,                0.96227,                  0.928,                  1.366,             0.00050606,             0.00050606,             0.00050606
                     14,                0.98588,                0.81218,                 1.2169,                0.79027,                0.71583,                0.77119,                0.57183,                0.94241,                0.89786,                 1.3457,             0.00045107,             0.00045107,             0.00045107
                     15,                0.97028,                0.78888,                 1.1998,                0.79388,                0.72212,                0.77636,                0.57743,                0.93959,                0.88487,                   1.34,             0.00039607,             0.00039607,             0.00039607
                     16,                0.94411,                0.76337,                  1.185,                0.79492,                0.72723,                0.78065,                0.58666,                0.91646,                0.85581,                  1.315,             0.00034108,             0.00034108,             0.00034108
                     17,                0.92334,                0.74288,                 1.1726,                 0.8046,                0.72941,                0.78274,                0.58877,                0.90554,                0.83713,                 1.3149,             0.00028608,             0.00028608,             0.00028608
                     18,                0.90736,                0.72197,                 1.1606,                0.81208,                0.72135,                0.78741,                0.59565,                0.88935,                0.83272,                 1.2983,             0.00023109,             0.00023109,             0.00023109
                     19,                0.88418,                0.70167,                 1.1443,                0.79764,                0.73941,                0.78782,                0.59697,                0.87467,                0.82357,                 1.2839,             0.00017609,             0.00017609,             0.00017609
                     20,                0.87016,                0.68427,                 1.1384,                0.80332,                0.73389,                0.79053,                0.60505,                0.86446,                0.81409,                 1.2731,              0.0001211,              0.0001211,              0.0001211
