                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1933,                 1.8885,                 1.3538,                0.65119,                0.56175,                0.59952,                0.37976,                 1.2304,                 1.8283,                 1.5668,             0.00036986,             0.00036986,             0.00036986
                      2,                 1.2973,                 1.4318,                 1.4329,                0.67786,                0.58324,                 0.6274,                0.38706,                 1.3532,                 1.4919,                 1.6613,             0.00066691,             0.00066691,             0.00066691
                      3,                 1.2981,                 1.3046,                  1.434,                0.69411,                0.58188,                0.60676,                0.37165,                 1.3747,                 1.5119,                 1.7146,             0.00089064,             0.00089064,             0.00089064
                      4,                 1.2472,                 1.1976,                 1.4059,                0.70281,                0.61192,                0.65545,                0.43324,                 1.2234,                 1.3205,                 1.5787,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.2085,                 1.1317,                 1.3734,                0.70763,                0.63237,                 0.6739,                0.45174,                 1.1991,                 1.1918,                 1.5431,             0.00078103,             0.00078103,             0.00078103
                      6,                  1.163,                 1.0641,                 1.3446,                0.73261,                0.66563,                0.70918,                 0.4904,                 1.1314,                 1.1107,                 1.5013,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.1203,                 0.9906,                 1.3137,                0.76035,                0.66648,                0.72492,                0.51072,                 1.0785,                 1.0342,                 1.4426,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.0803,                0.94023,                  1.282,                0.77305,                0.68705,                0.74011,                0.53249,                 1.0434,                0.99197,                 1.4135,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.0356,                0.88244,                 1.2571,                0.77094,                0.69091,                0.74358,                0.54298,                 1.0053,                0.95993,                 1.3778,             0.00034108,             0.00034108,             0.00034108
                     10,                0.99336,                0.83411,                 1.2242,                 0.7792,                0.69987,                0.75728,                0.56123,                0.96888,                0.92033,                 1.3531,             0.00023109,             0.00023109,             0.00023109
